Week_of,COVID-like Illness,Influenza,RSV-like Illness
"January 6, 2024",5525,8574,1496
"January 13, 2024",4412,5497,1076
"January 20, 2024",3719,4130,725
"January 27, 2024",4317,4385,681
"February 3, 2024",4060,3736,675
"February 10, 2024",4356,3484,602
"February 17, 2024",4135,3310,533
"February 24, 2024",3902,3085,467
"March 2, 2024",3517,2828,486
"March 9, 2024",2742,2244,462
"March 16, 2024",2248,1679,436
"March 23, 2024",2112,1362,474
"March 30, 2024",1843,1306,386
"April 6, 2024",1913,1216,328
"April 13, 2024",1703,884,306
"April 20, 2024",1506,702,292
"April 27, 2024",1337,613,255
"May 4, 2024",1391,589,279
"May 11, 2024",1288,481,241
"May 18, 2024",1327,565,248
"May 25, 2024",1304,486,194
"June 1, 2024",1302,427,187
"June 8, 2024",1294,379,174
"June 15, 2024",1292,373,146
"June 22, 2024",1373,336,133
"June 29, 2024",1510,422,112
"July 6, 2024",1676,329,95
"July 13, 2024",2110,386,93
"July 20, 2024",2503,406,113
"July 27, 2024",3187,436,115
"August 3, 2024",4176,513,104
"August 10, 2024",4665,547,85
"August 17, 2024",4933,614,137
"August 24, 2024",4649,656,129
"August 31, 2024",4671,708,185
"September 7, 2024",4641,749,222
"September 14, 2024",4247,839,275
"September 21, 2024",3353,749,285
"September 28, 2024",2668,690,258
"October 5, 2024",2173,612,233
"October 12, 2024",1976,610,233
"October 19, 2024",1902,681,287
"October 26, 2024",2051,808,359
"November 2, 2024",2094,815,377
"November 9, 2024",2016,836,458
"November 16, 2024",1909,861,522
"November 23, 2024",2036,966,690
"November 30, 2024",2017,1038,899
"December 7, 2024",2239,1301,1074
"December 14, 2024",2574,2054,1569
"December 21, 2024",3265,3138,2188
"December 28, 2024",3679,5031,2660